Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Accessibility needs),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (City),Custom field (Comments),Custom field (Company email address),Custom field (Confidence),Custom field (Confidence),Custom field (Date of birth),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Employee ID),Custom field (Employee location),Custom field (Employment type),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (First name),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Job title),Custom field (Last name),Custom field (Last working day),Custom field (Linked items),Custom field (Locked forms),Custom field (Mailing address),Custom field (Major incident),Custom field (Middle name),Custom field (Open forms),Custom field (Pending reason),Custom field (Personal email address),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Rank),Custom field (Region),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residential status),Custom field (Resignation date),Custom field (Responders),Custom field (Roadmap),Custom field (Roadmap),Custom field (Role),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Spec ready),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Team Id,Team Name,Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Value),Custom field (Value),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Vault][Subfolders]: Subfolder file counter doesn’t reflect nested subfolders/documents,MUS-740,45555,Bug,Ready For Test,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,30/Mar/26 8:43 PM,31/Mar/26 7:07 PM,,,,0,,,"h3. Impact

The file count for subfolders is incorrect. Users may be misinformed about the actual content size or structure. This can lead to confusion and potentially missed documents.

h3. Expected behaviour

The file count should accurately reflect the total number of sub-subfolders and documents within the entire hierarchy of a subfolder.

h3. Actual behaviour

The displayed count for a subfolder only includes direct children. It does not account for nested subfolders or documents within them.

h3. Steps to reproduce

* Navigate to the Vault section of the application.
* Access a folder that contains nested subfolders and/or documents.
* Observe the displayed count for the parent subfolder.

h3. Environment

* Platform: vault
* Browser: [ Chrome]
* OS: [Windows 11]

h3. ",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41582b95,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02bib:k,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,30/Mar/26 8:45 PM
[Vault][Workspaces]: GRC-synced workspaces vanish after adding first Vault workspace,MUS-739,45542,Bug,Closed,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,Done,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,30/Mar/26 2:40 PM,30/Mar/26 8:40 PM,,30/Mar/26 8:40 PM,,0,high-priority,severity-high,"h3. Impact

* Users may think their workspaces were deleted or lost.
* This blocks normal usage of Vault.
* Users cannot access their original workspaces/documents.
* There is a high risk for data trust and adoption during the GRC → Vault onboarding flow.

h3. Expected behaviour

* The 6 existing (synced) workspaces should remain visible.
* The new workspace should be added to the list, resulting in 7 total workspaces (6 existing + 1 new).
* The workspace list should remain consistent after creation and after refresh.

h3. Actual behaviour

* After creating the new workspace, the previous 6 workspaces vanish/disappear from the Vault workspaces list.
* The list may show only the newly created workspace or an incomplete list.

h3. Steps to reproduce

# Login to Musahm GRC using a user account that should have existing workspaces.
# Navigate from GRC → Vault (cross-app transition).
# In Vault, open the Workspaces screen/list.
# Confirm that the user can see the 6 existing workspaces.
# Click Create / Add Workspace.
# Create a new workspace and save.
# Return to the Workspaces list (or observe the list after creation completes).

h3. Environment

* Platform: Web
* OS: Windows 11
* Browser: Chrome
* Flow: Musahm GRC → Vault (first-time transition / initial sync)",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e52a8d1,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02bib:4,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,10386_*:*_1_*:*_21576186_*|*_10488_*:*_1_*:*_0,,,,,Done,30/Mar/26 8:40 PM
[Web][Vault][Folders]: Parent folder’s subfolder count not updated correctly when adding a nested folder,MUS-738,45541,Bug,Ready For Test,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,30/Mar/26 2:37 PM,31/Mar/26 7:07 PM,,,,0,,,,,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54a55146,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02bib:r,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,30/Mar/26 8:40 PM
[Vault][Workspace Deletion]: Files moved to “All files” instead of being soft deleted when deleting a workspace,MUS-737,45454,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,29/Mar/26 7:38 PM,31/Mar/26 8:23 PM,,,,0,,,"h3. Impact

This behavior can confuse users about the actual deletion state of workspace content. It may cause issues for data retention and compliance, as files appear to be deleted with the workspace but are still accessible from *All files*.

h3. Expected behaviour

Files that were inside a deleted workspace should be soft deleted along with the workspace. They should not appear under *All files* as active documents.

h3. Actual behaviour

The files that were inside the deleted workspace appear under *All files* and are still accessible.

h3. Steps to reproduce

* Create a workspace in Vault.
* Upload one or more files to this workspace.
* Delete this workspace.
* Navigate to *All files*.

h3. Environment

windows 11 

browser chrome

h3. ",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4265e89,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d5j:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 8:23 PM
[Web][Vault][Workspace]: User can still act on tasks after workspace deletion,MUS-736,45453,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,29/Mar/26 7:31 PM,30/Mar/26 8:47 PM,,,,0,,,"h3. Impact

Users can still approve, reject, or modify tasks linked to a deleted workspace. This occurs even after the workspace has been soft-deleted and moved to the recycle bin.

h3. Expected behaviour

When a workspace is deleted:

* All approval, rejection, or modification actions should be blocked.
* A clear message should inform users that they cannot perform these actions until the workspace is restored.

Once the workspace is restored:

* All related actions should be enabled again and function normally.

h3. Actual behaviour

The system allows users to approve, reject, or modify items/files that belong to the deleted workspace.

h3. Steps to reproduce

* Login to Vault.
* Delete an existing workspace (it will move to the recycle bin).
* Go to *Tasks*.
* Open a task/file linked to the deleted workspace.
* Attempt to perform an action (e.g. *Approve*, *Reject*, or *Modify/Edit*).

h3. Environment

Windows 11 chrome browser

h3. Other information

No backend workflow should continue to process approvals/changes for items that belong to a deleted workspace.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7256aa4d,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02csk:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,29/Mar/26 7:31 PM
File upload accepts all extensions instead of restricting to document types,MUS-732,45276,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Afaf Hussein,712020:c2d00f3e-ad34-47a9-91fc-21155bc0a64d,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,26/Mar/26 8:47 PM,31/Mar/26 7:58 PM,,,,0,high-priority,severity-high,"h3. Impact

The file upload component allows users to upload any file type. This can lead to uploading irrelevant or unsupported files. It poses security and compliance risks if unsafe file types are accepted.

h3. Expected behaviour

The system should restrict uploads to specific document formats only. Allowed extensions include {{pdf}}, {{doc}}, {{docx}}, and other similar document types. If a user tries to upload an unsupported file type, the upload should be blocked, and a clear message should be displayed.

h3. Actual behaviour

Currently, the system accepts any file extension without any validation error. Users can upload images, videos, zip files, executables, etc.

h3. Steps to reproduce

* Open the file upload component.
* Select a file with an unsupported extension (e.g., image, video).
* Attempt to upload the file.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1657e757,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d9d:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,31/Mar/26 7:58 PM
[Web][Vault Workspaces]: Enforce unique workspace name per company (naming convention),MUS-731,45275,Bug,Ready For Test,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,26/Mar/26 8:34 PM,31/Mar/26 7:22 PM,,,,0,high-priority,severity-high,"h3. Impact

* Users can select the wrong workspace when performing actions.
* Documents, permissions, or configurations may be assigned to the incorrect workspace.
* Navigation and management of workspaces becomes unclear, especially for companies with many workspaces.

h3. Expected behaviour

Each workspace name should be unique per company. Users should be able to clearly identify and work with the correct workspace.

h3. Actual behaviour

It is currently possible to create multiple Vault workspaces with the same name under the same company. The system does not validate the uniqueness of the workspace name when creating or renaming a workspace.

h3. Steps to reproduce

* Attempt to create a new Vault workspace with a name that already exists under the same company.
* Observe that the system allows the creation without any validation.
* Rename an existing workspace to a name that is already in use.
* Check that the rename is successful without any uniqueness validation.

h3. Environment

chrome browser 

h3. Other information

This bug can lead to confusion in lists, filters, and selection menus, impacting the overall workflow.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5afde0ed,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d5l:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,31/Mar/26 7:12 PM
[Web][Vault][Workspace]: Storage Limit (MB) not enforced — uploads exceed limit,MUS-730,45272,Bug,In Progress,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,26/Mar/26 7:40 PM,31/Mar/26 8:24 PM,,,,0,high-priority,severity-high,"*Summary:* Storage limit set per workspace is not being enforced; user can upload files far beyond limit (e.g., limit=1MB, upload=1GB succeeds).

*Steps:*

# Login
# Create workspace with Storage Limit (MB)=1
# Upload a file of ~1GB to that workspace
# Observe upload success.

*Actual:* Upload succeeds; no validation/error; workspace storage usage/limit not blocked.

*Expected:* Upload should be rejected once workspace would exceed limit; show clear error; prevent upload and keep storage usage accurate.

*Acceptance Criteria:*
A) Backend enforces limit at upload API (before persisting)
B) UI shows friendly message with remaining MB and attempted file size
C) Workspace storage usage is calculated accurately and updated after upload/delete
D) Edge cases: multiple uploads, concurrent uploads, replacing files.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55c2d116,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02d5i:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,In Progress,31/Mar/26 8:24 PM
[Web][Vault][Workspace]: Number field enforces leading zero – cannot fully clear or override with empty value,MUS-729,45271,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,mostafa.mohamed,712020:ee930284-a676-4ef4-984e-6d2be77068d4,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,26/Mar/26 7:30 PM,26/Mar/26 7:38 PM,,,,0,,,"h3. Impact

* Users are forced to keep an unnecessary leading zero in the *Storage Limit (MB)* field.
* This leads to confusion and increases the risk of entering incorrect values (e.g. {{01}} instead of {{1}}).

h3. Expected behaviour

* The *Storage Limit (MB)* field should be required.
* Users should be able to:
** Completely clear the field, including the {{0}}, and then type a new value.
** Type directly, replacing the {{0}} with new digits.
* The requirement should be for a valid numeric value, not to retain the literal {{0}}.

h3. Actual behaviour

* The {{0}} in the *Storage Limit (MB)* field cannot be fully removed.
* When attempting to enter a new number, the {{0}} remains as if it were mandatory.
* Users end up with values like {{01}}, {{02}}, etc., instead of starting from an empty field.

h3. Steps to reproduce

# Login as an employee.
# Navigate to *Vault* and click *Add workspace*.
# In the *Storage Limit (MB)* field, delete the current number so that only the default {{0}} remains.
# Try to delete the {{0}} or type a new number directly.

h3. Environment

* Platform: Web (Desktop)
* OS: Windows 11
* Browser: Google Chrome Version 146.0.7680.165 (Official Build) (64‑bit)

h3. Workarounds

* N/A

h3. Other information

* Module / Screen: Vault – Add Workspace
* Field: *Storage Limit (MB)*

!image-20260326-140719.png|width=638,height=717!",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,26/Mar/26 7:38 PM;ug:14e49a3d-81bc-4f58-947b-699f3cef9a30;image-20260326-140719.png;https://runatek.atlassian.net/rest/api/3/attachment/content/22077,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@553bc8cc,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02cs5:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,26/Mar/26 7:30 PM
UI/UX: Checkbox label text is too close to the checkbox in “New Workflow → Rules & Exceptions” modals,MUS-728,45228,Bug,To Do,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,,mostafa.mohamed,712020:ee930284-a676-4ef4-984e-6d2be77068d4,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,26/Mar/26 1:06 PM,26/Mar/26 1:14 PM,,,,0,,,"h3. Impact

* The checkbox label text is too close to the checkbox in the New Workflow → Rules and Exceptions modals.
* This affects readability and makes it harder for users to scan options quickly.
* It may also give a less polished impression of the UI.

h3. Expected behaviour

* There should be clear and consistent horizontal spacing (around 8–12px) between each checkbox and its label.
* The layout should match spacing conventions used elsewhere in the product for better readability.

h3. Actual behaviour

* The label text is very close to its checkbox on both Rules and Exceptions screens.
* There is almost no visible gap between the checkbox and the label, leading to a cramped layout.

h3. Steps to reproduce

* Login to the application.
* Go to WorkSpace.
* Click on any file to open its details/actions.
* Click on New Workflow.
* Navigate to the Rules page in the workflow.
* Observe the spacing between each checkbox and its label.
* Navigate to the Exceptions page.
* Observe the checkbox and label spacing there as well.

h3. Environment

* OS: Windows 11
* Browser: Google Chrome
* Area: All files → File workflow
* Affected Screens:
** New Workflow → Rules
** New Workflow → Exceptions

h3. Workarounds

* N/A

h3. Other information

* Severity: Minor (Cosmetic UI issue)
* Priority: Medium (visible in a core workflow; likely a quick CSS/design-system fix)
* Technical Notes:
** Check the layout container for checkbox + label and ensure a proper gap or margin-left on the label.
** Confirm it uses the standard checkbox-with-label component from the design system.
** Validate that Rules and Exceptions use the same spacing as other similar lists (e.g., roles, permissions, filters).
* Attachment: image1.png (shows example of cramped checkbox + label spacing)",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6299f112,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02cqt:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,,,38938,MUS-577,Musahm Vault,To Do,26/Mar/26 1:06 PM
Enhance Workspace Creation: Remove Manual Slug URL Requirement,MUS-727,45192,Bug,Closed,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,Done,mostafa.mohamed,712020:ee930284-a676-4ef4-984e-6d2be77068d4,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,25/Mar/26 7:39 PM,31/Mar/26 5:33 PM,,31/Mar/26 5:33 PM,,0,,,"let’s hide this text box for url slug.

!image-20260325-141038.png|width=636,alt=""image-20260325-141038.png""!",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,;31/Mar/26 5:33 PM;09fe937c-713b-4810-b97c-f0ae48184541;28800,,0,28800,,,0,28800,,25/Mar/26 7:40 PM;ug:14e49a3d-81bc-4f58-947b-699f3cef9a30;image-20260325-141038.png;https://runatek.atlassian.net/rest/api/3/attachment/content/21978,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba45942,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02cqd:,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,10387_*:*_1_*:*_0_*|*_10386_*:*_1_*:*_510831570,,38938,MUS-577,Musahm Vault,Done,31/Mar/26 5:33 PM
File Extension Missing After Downloading 0.1K File,MUS-725,45188,Bug,Closed,MUS,MUSAHM,software,Waleed Hussien,60aa0dcf5c73730069e7ad29,,Medium,Done,Ahmed Taher,712020:ba0168bc-6dad-4942-a8c1-0a85c1d85007,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,25/Mar/26 7:19 PM,30/Mar/26 8:58 PM,,30/Mar/26 8:58 PM,,0,high-priority,severity-high,"*Environment:*

* Browser: Google Chrome Version 146.0.7680.80 (Official Build) (64-bit)
* OS: Windows 11

*Severity:* High
*Priority:* High

*Steps to Reproduce:*

# Login to the application.
# Go to the *Workspace*.
# Select a test file with a size of *0.1K* (or 0.0 KB).
# Click *Download*.

*Actual Result:*

* The downloaded file appears on the desktop (or in the Downloads folder) *without a file extension*.

*Expected Result:*

* The downloaded file should *retain its original file extension* (e.g., {{.pdf}}, {{.docx}}, {{.png}}, etc.) regardless of its size, including 0.1K / 0.0 KB files.",,Abanob Ashraf,712020:13892bc4-7729-4ac2-b049-fa974364ed48,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f9474a4,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02bib:2,,,,,,,,,,,,,,,,,MUS Sprint 14,,,,,,,,,,,,,,,,,,,,,,10386_*:*_1_*:*_437957259_*|*_10488_*:*_1_*:*_0,,38938,MUS-577,Musahm Vault,Done,30/Mar/26 8:58 PM
